dept
"Roseville Police Department, CA"
"Haskell County Sheriff's Office, KS"
"Oxford Police Department, KS"
"Pennsylvania Office of Attorney General, PA"
"Oakland Unified School District Police Department, CA"
"United States Department of Housing and Urban Development - Office of Inspector General, US"
"Camden County Prosecutor's Office, NJ"
"Haddon Heights Police Department, NJ"
"Fremont County Sheriff's Office, WY"
"Coweta Police Department, OK"
"Tallulah Police Department, LA"
"Randolph County Sheriff's Department, AL"
"Franklin Township (Gloucester County) Police Department, NJ"
"Fairfield County Sheriff's Office, OH"
"Sparks Police Department, NV"
"Brea Police Department, CA"
"Clovis Police Department, NM"
"Montgomery Police Department, LA"
"Wildwood Crest Police Department, NJ"
"Glendora Police Department, CA"
"Cass County Sheriff's Office, MO"
"North Carolina State Bureau of Investigation, NC"
"Beloit Police Department, KS"
"Highlands County Sheriff's Office, FL"
"Brooks County Sheriff's Office, TX"
"Simi Valley Police Department, CA"
"Oglethorpe County Sheriff's Office, GA"
"Ola Police Department, AR"
"Peralta Community College District Police Department, CA"
"Louisville Housing Authority Police Department, KY"
"Loudoun County Sheriff's Office, VA"
"East Kingston Police Department, NH"
"Jupiter Police Department, FL"
"Carolina Municipal Police Department, PR"
"Teller County Sheriff's Office, CO"
"Cotton County Sheriff's Office, OK"
"Quapaw Police Department, OK"
"North Dakota Game and Fish Enforcement Division, ND"
"Garwood Police Department, NJ"
"Saluda Police Department, SC"
"Co-op City Department of Public Safety, NY"
"Baldwin County Sheriff's Office, GA"
"Forest Park Police Department, GA"
"Cannon County Sheriff's Department, TN"
"Jasper County Constable's Office - Precinct 5, TX"
"Tulane University Police Department, LA"
"St. Joseph Police Department, MN"
"Gilmer County Sheriff's Office, GA"
"Habersham County Sheriff's Office, GA"
"Warrenton Police Department, OR"
"Youngstown State University Police Department, OH"
"Watford City Police Department, ND"
"Eastchester Police Department, NY"
"Los Angeles County Department of Coroner, CA"
"United States Department of Commerce - Office of Security, US"
"Farmington Police Department, AR"
"Oakboro Police Department, NC"
"North Dakota Youth Correctional Center, ND"
"Winchester Police Department, TN"
"Cresson Borough Police Department, PA"
"Grenada County Sheriff's Department, MS"
"Puerto Rico Commonwealth Marshal's Office, PR"
"Coldwater Police Department, OH"
"Placentia Police Department, CA"
"Mobile Court Police Department, AL"
"Monroeville Police Department, AL"
"Jonesville Police Department, NC"
"Ingham County Sheriff's Office, MI"
"Fountain Inn Police Department, SC"
"Giddings Police Department, TX"
"Fulton County Sheriff's Office, OH"
"Barry County Sheriff's Office, MO"
"Moore County Sheriff's Office, TX"
"Whitfield County Sheriff's Office, GA"
"Monmouth County Sheriff's Office, NJ"
"Shannon Police Department, MS"
"Bentonville Police Department, AR"
"Spanish Fork City Police Department, UT"
"Ohio State University Police Department, OH"
"Iberia Police Department, MO"
"Dallas / Fort Worth International Airport Police Department, TX"
"Rocky Ripple Police Department, IN"
"Jefferson Davis County Sheriff's Department, MS"
"Hinesville Police Department, GA"
"Higginson Police Department, AR"
"New Middletown Police Department, OH"
"Suffolk County Sheriff's Department, MA"
"Walden Police Department, TN"
"Allen County Adult Probation Department, IN"
"Frontier County Sheriff's Office, NE"
"Granby Department of Police Services, CT"
"East Jefferson Levee District Police Department, LA"
"Morrisville Police Department, NC"
"North Harris Montgomery Community College District Police Department, TX"
"Middleton Police Department, MA"
"Richmond County Board of Education Public Safety, GA"
"Sharpsburg Police Department, NC"
"Sebastian County Sheriff's Office, AR"
"Andover Township Police Department, NJ"
"Allen County Sheriff's Department, IN"
"Tuxedo Park Village Police Department, NY"
"Ravalli County Sheriff's Department, MT"
"Epsom Police Department, NH"
"Howard City Police Department, MI"
"Carter County Sheriff's Department, KY"
"Rich Hill Police Department, MO"
"McLean County Coroner's Office, IL"
"Boise Police Department, ID"
"Markham Police Department, IL"
"Norfolk Southern Railroad Police Department, RR"
"Polk County Sheriff's Department, MO"
"Cross Plains Police Department, TN"
"Bradley Police Department, IL"
"Lyndhurst Police Department, OH"
"Davidson Police Department, NC"
"North Lauderdale Police Department, FL"
"Centerville Police Department, OH"
"Sheridan Police Department, AR"
"Virgin Islands Office of the Superior Court Marshal, VI"
"San Antonio Department of Code Compliance, TX"
"Lee County Sheriff's Department, MS"
"Haines City Police Department, FL"
"Ventura Port District Harbor Patrol, CA"
"Bald Knob Police Department, AR"
"Omak Police Department, WA"
"Georgetown Police Department, DE"
"Tohono O'odham Nation Police Department, TR"
"Mart Police Department, TX"
"Millbrae Police Department, CA"
"Waverly Police Department, VA"
"Ocean Shores Police Department, WA"
"Long Beach Police Department, MS"
"Traverse City Police Department, MI"
"King George County Sheriff's Office, VA"
"Douglas County Sheriff's Office, NV"
"Cortez Police Department, CO"
"Berwick Police Department, LA"
"Moody Police Department, AL"
"New Jersey Department of Law and Public Safety - Juvenile Justice Commission, NJ"
"Helena Police Department, AR"
"Russell County Sheriff's Department, AL"
"Juab County Sheriff's Department, UT"
"Upper Chichester Township Police Department, PA"
"St. Louis County Department of Justice Services, MO"
"Bradshaw Police Department, WV"
"Chesterfield County Sheriff's Department, SC"
"East Feliciana Parish Sheriff's Department, LA"
"Washington County Sheriff's Department, WI"
"Gwinnett County Sheriff's Office, GA"
"Terrebonne Parish Sheriff's Office, LA"
"Muscatine County Sheriff's Department, IA"
"Pennsylvania State Constable - Clearfield County, PA"
"Connecticut Department of Environmental Protection, CT"
"United States Department of Defense - Selfridge Air National Guard Base Police, US"
"Oneonta Town Constable's Office, NY"
"Lodi Police Department, CA"
"Goshen Police Department, IN"
"Otoe-Missouria Tribe of Oklahoma Police, TR"
"Bryan County Sheriff's Office, OK"
"Ponce Municipal Police Department, PR"
"Washington State Liquor Control Board, WA"
"Grove Hill Police Department, AL"
"Kane Borough Police Department, PA"
"Gallaway Police Department, TN"
"Prentiss County Sheriff's Office, MS"
"Enfield Police Department, NC"
"Chandler Police Department, AZ"
"Nashville International Airport Police, TN"
"Woburn Police Department, MA"
"Palmer Police Department, AK"
"Douglas County Sheriff's Office, CO"
"Kinston Police Department, NC"
"Jefferson Davis Parish Sheriff's Office, LA"
"Cockrell Hill Police Department, TX"
"Spencer Police Department, NC"
"Assumption Parish Sheriff's Department, LA"
"Killian Police Department, LA"
"Greenville Police Department, KY"
"Delaware County Sheriff's Office, OK"
"Coos County Sheriff's Office, OR"
"Madison County Sheriff's Office, FL"
"Grand Meadow Police Department, MN"
"Gresham Police Department, OR"
"Fulton County Schools Police Department, GA"
"Red Bud Police Department, IL"
"Gramercy Police Department, LA"
"Winchester Police Department, VA"
"Clay County Sheriff's Office, KS"
"New York City Police Department - Division of School Safety, NY"
"Gordon Police Department, NE"
"White Mountain Apache Tribal Police Department, TR"
"Kings County Sheriff's Department, CA"
"Cameron Parish Sheriff's Department, LA"
"Greene County Sheriff's Office, NC"
"Southern Shores Police Department, NC"
"Jefferson County Sheriff's Office, GA"
"Edwards County Sheriff's Department, IL"
"DeWitt Township Police Department, MI"
"Davidson County Sheriff's Office, NC"
"Middletown Police Department, CT"
"San Juan Police Department, PR"
"Parson Police Department, TN"
"Sylvania Police Department, GA"
"Oakland City Police Department, IN"
"Brown County Sheriff's Office, KS"
"Louisville Police Department, MS"
"Kentucky State Police - Commercial Vehicle Enforcement Division, KY"
"Washington State Parks and Recreation Commission, WA"
"Clarke County Sheriff's Office, GA"
"Austin Park Police Department, TX"
"Hampshire Police Department, IL"
"Forrest City Police Department, AR"
"Morgantown Police Department, WV"
"Huron County Sheriff's Department, MI"
"St. Martin Parish Sheriff's Office, LA"
"Worcester County Sheriff's Office, MD"
"Flagstaff Police Department, AZ"
"Randolph County Sheriff's Department, MO"
"Oglala Sioux Tribal Police, TR"
"Clay Township Police Department, OH"
"Crandon Police Department, WI"
"Rich Square Police Department, NC"
"Jackson County Sheriff's Department, MS"
"Cass County Sheriff's Department, MI"
"Bel-Ridge Police Department, MO"
"Goodman Police Department, MS"
"Richland County Detention Center, SC"
"Medfield Police Department, MA"
"West Deptford Police Department, NJ"
"Hohenwald Police Department, TN"
"Alabama State University Police Department, AL"
"Yarmouth Police Department, MA"
"Whitewright Police Department, TX"
"Washington Police Department, GA"
"Jackson County Sheriff's Office, KS"
"Plymouth Township Police Department, PA"
"Jerome County Sheriff's Department, ID"
"Notasulga Police Department, AL"
"Berkeley County Sheriff's Department, WV"
"Queen Anne's County Sheriff's Department, MD"
"Centreville Police Department, MD"
"Cuyahoga County Sheriff's Department, OH"
"Clinton Township Police Department, MI"
"Oregon County Sheriff's Department, MO"
"Jones County Sheriff's Department, MS"
"Des Moines Police Department, WA"
"Aliquippa Police Department, PA"
"Jackson Township Police Department, NJ"
"Leon County Sheriff's Office, TX"
"Vail Police Department, CO"
"Bulloch County Sheriff's Office, GA"
"Fruita Police Department, CO"
"Vermilion County Sheriff's Department, IL"
"Forest Park Police Department, OH"
"Roosevelt Police Department, UT"
"Leake County Sheriff's Office, MS"
"Jal Police Department, NM"
"Lehi Police Department, UT"
"Bishop Police Department, CA"
"Whitehall Police Department, OH"
"Colorado Department of Natural Resources - Wildlife Division, CO"
"Albany Police Department, OR"
"New York City Fire Department, NY"
"New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY"
"New York State Office of Tax Enforcement - Petroleum, Alcohol and Tobacco Bureau, NY"
"United States Department of the Treasury - United States Secret Service Special Services Division, US"
"Alger County Sheriff's Department, MI"
"Bladen County Sheriff's Office, NC"
"Gibson County Sheriff's Department, IN"
"Decatur Police Department, IN"
"Florida Fish and Wildlife Conservation Commission, FL"
"Plainville Police Department, MA"
"Calhoun County Sheriff's Office, AL"
"Prentiss Police Department, MS"
"Horry County Sheriff's Office, SC"
"Bremerton Police Department, WA"
"Jasper County Sheriff's Office, MO"
"Key Biscayne Police Department, FL"
"Bellwood Police Department, IL"
"Upper Darby Township Police Department, PA"
"Ohio Air National Guard - 178th Security Forces Squadron, OH"
"Bennington Police Department, NE"
"Scottsdale Police Department, AZ"
"Marion Police Department, LA"
"Idaho Department of Juvenile Correction, ID"
"Stark County Sheriff's Department, IL"
"North Carolina Marine Patrol, NC"
"White Settlement Police Department, TX"
"Maryland-National Capital Park Police - Montgomery County Division, MD"
"Andrews Department of Public Safety, TX"
"Plumstead Township Police Department, PA"
"Rocky Boy's Tribal Police Department, TR"
"Broome County Sheriff's Office, NY"
"Chowan County Sheriff's Office, NC"
"Hobart / Lawrence Police Department, WI"
"Hazel Park Police Department, MI"
"Pojoaque Pueblo Tribal Police Department, TR"
"Barrington-Inverness Police Department, IL"
"Prince George's County Sheriff's Office, MD"
"Carroll County Sheriff's Office, GA"
"Iron County Sheriff's Office, UT"
"Truesdale Police Department, MO"
"Ferris Police Department, TX"
"Moss Point Police Department, MS"
"Elloree Police Department, SC"
"Alaska Department of Corrections, AK"
"Red Bluff Police Department, CA"
"Summerville Police Department, SC"
"Trimble County Jail, KY"
"Dent County Sheriff's Department, MO"
"Kentucky Office of Charitable Gaming, KY"
"Howland Police Department, OH"
"Muskingum Watershed Conservancy District, OH"
"Davis County Sheriff's Department, IA"
"Lake County Sheriff's Office, MT"
"Montville Police Department, CT"
"Garfield County Sheriff's Office, UT"
"Matteson Police Department, IL"
"Adams County Sheriff's Office, WI"
"Alexandria City Marshal's Office, LA"
"Friona Police Department, TX"
"Evangeline Parish Sheriff's Department, LA"
"Fair Lawn Police Department, NJ"
"Chatsworth Police Department, GA"
"Southwest Georgia Regional Airport Police Department, GA"
"Folsom Police Department, LA"
"Blaine County Sheriff's Office, MT"
"Westminster Police Department, CA"
"Fayette Police Department, AL"
